County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile
Marshall ,IN,16.1,25.5,6.3,45709,21933,15.2,47051,47107,0.1,106.1
Martin ,IN,17.1,23.2,6.1,44740,22817,14.6,10334,10203,-1.7,30.8
Miami ,IN,15.9,21.6,5.1,42023,20475,17.2,36903,35954,-2.6,98.7
Monroe ,IN,11.4,16.1,4.5,40052,23032,25.1,137974,143339,3.9,349.7
Montgomery ,IN,16.6,23.3,6.3,46797,22679,16.8,38124,38146,0.1,75.6
Morgan ,IN,15.1,23.6,5.6,55354,25781,11.5,68894,69693,1.1,170.5
Newton ,IN,17.7,22.2,5.1,50262,25594,11.2,14244,14156,-0.6,35.5
Noble ,IN,14.6,25.7,6.4,47117,21889,14.2,47536,47618,0.2,115.7
Ohio ,IN,19.6,20,4.7,50377,25443,8.3,6128,6035,-1.5,71.1
Orange ,IN,17.5,23.4,5.5,38826,18576,17.9,19840,19626,-1.1,49.8
Owen ,IN,17.3,21.8,4.7,43950,21318,14,21575,20969,-2.8,56
Parke ,IN,17.1,21.6,6,43870,20534,13.3,17339,17233,-0.7,39
Perry ,IN,16.6,20.9,5.5,47596,20934,10.9,19338,19454,0.6,50.7
Pike ,IN,19,21.9,5.4,40680,22245,12.7,12845,12624,-1.7,38.4
Porter ,IN,14.4,22.8,5.5,62794,28669,10.4,164343,167076,1.7,393
Posey ,IN,16.2,22.8,5.8,58750,29187,9.9,25910,25540,-1.4,63.3
Pulaski ,IN,17.8,22.8,5.4,44764,21641,14,13402,12967,-3.2,30.9
Putnam ,IN,15.2,19.6,4.7,50821,21520,9.7,37963,37618,-0.9,79
Randolph ,IN,18.6,23.6,5.9,40904,21592,17.4,26171,25384,-3,57.9
Ripley ,IN,16.9,24.3,6,47537,22059,9.4,28818,28497,-1.1,64.6
Rush ,IN,17.4,23.3,5.6,47401,23396,15.4,17392,16892,-2.9,42.6
St. Joseph ,IN,14.3,24,6.5,44582,23509,17.7,266931,267618,0.3,583
Scott ,IN,15.8,23,5.9,42898,20481,19,24181,23712,-1.9,127
Shelby ,IN,15.6,23.1,5.8,51440,24459,12.9,44436,44579,0.4,108.1
Spencer ,IN,18,22.6,5.5,52991,23641,12.6,20952,20801,-0.7,52.8
Starke ,IN,16.8,23.2,5.8,40126,19773,16.9,23363,23074,-1.2,75.6
Steuben ,IN,17.2,21.1,4.9,48080,23975,11.5,34185,34308,0.4,110.7
Sullivan ,IN,16.3,20.3,5.1,43510,19821,17.9,21475,21050,-2,48
Switzerland ,IN,16.3,24.8,6.1,44143,20019,22.2,10613,10452,-1.5,48.1
Tippecanoe ,IN,10.3,20.8,6.2,44246,23691,21.6,172780,183074,6,345.7
Tipton ,IN,19.3,21.4,4.3,52686,25093,9.4,15936,15415,-3.3,61.2
Union ,IN,16.9,22.8,4.5,44161,20883,12.7,7516,7246,-3.6,46.6
Vanderburgh ,IN,15.2,22,6.4,43540,24378,15.9,179703,182006,1.3,769.7
Vermillion ,IN,18.6,22.2,5.3,42524,22875,15.8,16212,15693,-3.2,63.1
Vigo ,IN,14.5,20.7,5.9,40692,21192,20,107848,108175,0.3,267.4
Wabash ,IN,19.4,21.6,5.2,45286,21201,15.1,32888,32252,-1.9,79.7
Warren ,IN,18.7,22.5,5.7,52317,27390,7.1,8508,8352,-1.8,23.3
Warrick ,IN,16.1,24.6,5.7,62351,29927,9,59689,61149,2.4,155.1
Washington ,IN,15.4,23.6,5.7,41986,21370,15.1,28262,27878,-1.4,55
Wayne ,IN,17.9,22.5,6.2,38350,21114,21.8,68917,67671,-1.9,171.5
Wells ,IN,17,24.1,6.5,48136,24269,10.7,27636,27862,0.8,75.1
White ,IN,18.8,23.4,6.2,51444,23666,10.8,24643,24453,-0.8,48.8
Whitley ,IN,16,23.4,5.8,51914,24613,8.2,33292,33403,0.3,99.2
Adair ,IA,22.1,22.1,4.8,47892,25564,9.5,7682,7454,-3,13.5
Adams ,IA,22,21.4,6.5,45871,23707,11.3,4029,3875,-3.8,9.5
Allamakee ,IA,21.3,22.5,6.1,48831,24926,12.6,14330,14038,-2,22.4
Appanoose ,IA,21.4,22.4,6,39208,21599,15.2,12887,12661,-1.8,25.9
Audubon ,IA,24.3,20.2,4.6,48313,30919,9.5,6119,5794,-5.3,13.8
Benton ,IA,16.9,23.8,5.7,56669,26624,8.4,26076,25680,-1.5,36.4
Black Hawk ,IA,14.8,21.5,6.1,45747,24273,17,131090,132897,1.4,231.7
Boone ,IA,17,22.7,5.6,51826,27149,10.1,26306,26433,0.5,46
Bremer ,IA,18.4,21.8,5.1,61216,28727,7.3,24276,24721,1.8,55.7
Buchanan ,IA,16.2,26.6,6.8,55553,27038,9.9,20958,21038,0.4,36.7
Buena Vista ,IA,14.6,25.3,7.3,46951,22899,12.8,20260,20578,1.6,35.2
Butler ,IA,21,23.6,6.1,52026,25269,9.8,14867,15006,0.9,25.6
Calhoun ,IA,22.3,20.6,5.6,44484,25766,13.4,9670,9866,-3.1,17
Carroll ,IA,19.2,24.1,6.5,48361,25430,9.6,20816,20562,-1.2,36.6
Cass ,IA,21.5,22.6,5.7,43481,25448,11.4,13956,13448,-3.6,24.7
Cedar ,IA,18.4,22.9,5.1,58088,26567,8,18499,18411,-0.5,31.9
Cerro Gordo ,IA,19.7,20.5,5.6,44795,27291,13.2,44151,43254,-2,77.7
Cherokee ,IA,22.4,21,6,48977,26330,9.7,12072,11836,-2,20.9
Chickasaw ,IA,19.4,23.8,6.1,43971,24139,10.3,12439,12264,-1.4,24.7
Clarke ,IA,17.6,24.3,6.5,43216,23472,13.7,9286,9217,-0.7,21.5
Clay ,IA,19.6,22.8,5.7,49035,29060,8.9,16667,16515,-0.9,29.4
Clayton ,IA,20.9,22.2,5.7,47494,25074,12.5,18129,17692,-2.4,23.3
Clinton ,IA,18.3,22.7,6.1,49559,25966,14,49116,48051,-2.2,70.7
Crawford ,IA,16.9,25.5,7.2,46548,22748,15.8,17096,17228,0.8,23.9
Dallas ,IA,11.2,28.6,8.2,73847,35844,6.4,66135,77400,17,112.4
Davis ,IA,17.5,28.9,8,45040,22210,21.2,8753,8781,0.3,17.4
Decatur ,IA,18.3,21.8,5.1,36326,18845,19.5,8457,8263,-2.3,15.9
Delaware ,IA,18.1,23.8,5.7,54076,26261,8.4,17764,17398,-2.1,30.7
Des Moines ,IA,18.8,23,6,42451,24408,13.8,40325,40255,-0.2,96.9
Dickinson ,IA,24.2,19.1,4.9,56136,31790,7.8,16667,16935,1.6,43.8
Dubuque ,IA,16.2,23.1,6.1,51475,26254,10.9,93653,96370,2.9,154
Emmet ,IA,19.2,21.6,5.6,48601,27908,12.5,10302,9990,-3,26
Fayette ,IA,20.4,21.2,5.8,45542,23391,11.5,20880,20343,-2.6,28.6
Floyd ,IA,20.7,23.1,5.7,43826,24590,12.6,16303,16077,-1.4,32.6
Franklin ,IA,20.1,22.8,5.7,48355,26102,11.1,10680,10436,-2.3,18.4
Fremont ,IA,21.6,22,5.4,50520,26930,10.2,7441,7022,-5.6,14.6
Greene ,IA,21.4,22.9,5.3,45865,26205,13,9336,9200,-1.5,16.4
Grundy ,IA,19.8,23.4,6,56827,31164,7,12453,12375,-0.6,24.8
Guthrie ,IA,21.7,22.2,5.3,50609,28030,10.3,10954,10722,-2.1,18.5
Hamilton ,IA,19.4,23,5.6,43589,24510,12.3,15673,15117,-3.5,27.2
Hancock ,IA,20.2,22.7,5.4,50105,25814,10.4,11341,11027,-2.8,19.9
Hardin ,IA,21.2,21,5.2,49342,25153,8.6,17534,17311,-1.3,30.8
Harrison ,IA,19.1,22.6,5.5,54583,26184,9.6,14928,14324,-4.1,21.4
Henry ,IA,17.6,22.3,5.9,46376,22687,17.9,20145,20217,0.4,46.4
Howard ,IA,19.7,25.2,6.8,46429,24286,11.6,9566,9449,-1.2,20.2
Humboldt ,IA,20.3,22.9,5.5,47897,26746,10.2,9815,9640,-1.8,22.6
Ida ,IA,21.6,23.8,7.1,43449,25869,14.4,7089,7042,-0.7,16.4
Iowa ,IA,18,23.3,5.9,58008,28068,10.9,16355,16375,0.1,27.9
Jackson ,IA,19.8,22.3,5.4,46467,24493,10.5,19848,19482,-1.8,31.2
Jasper ,IA,18,22.5,5.5,50513,24905,11.8,36842,36872,0.1,50.4
Jefferson ,IA,18.8,16.8,4.3,48814,27593,12.4,16843,17325,2.9,38.7
Johnson ,IA,9.9,20.4,6.2,53424,29592,17.7,130882,142287,8.7,213.1
Jones ,IA,18.5,21.8,5.2,55041,26762,8.3,20638,20454,-0.9,35.9
Keokuk ,IA,20.1,23.2,6.3,42167,22243,13.2,10511,10231,-2.7,18.1
Kossuth ,IA,22.5,21.9,5.5,51812,29127,8.7,15543,15222,-2.1,16
Lee ,IA,18.6,21.6,6.2,42469,22649,15.1,35862,35286,-1.6,69.3
Linn ,IA,14.3,23.8,6.3,57260,29943,9.7,211226,217751,3.1,294.6
Louisa ,IA,16.6,23.2,5.3,50583,24272,12.2,11387,11161,-2,28.3
Lucas ,IA,21,23.3,5.6,43288,21126,17,8898,8701,-2.2,20.7
Lyon ,IA,16.9,28.1,7.3,52152,23683,8,11581,11683,0.9,19.7
Madison ,IA,16.3,26,5.8,57581,27685,8.9,15679,15609,-0.4,27.9
Mahaska ,IA,16.9,23.7,6.1,47967,23788,15.9,22381,22370,0,39.2
Marion ,IA,16.4,24.1,6.1,54723,25477,9.2,33309,33365,0.2,60.1
Marshall ,IA,17.5,24.9,7,51555,24117,12.1,40648,40866,0.5,71
Mills ,IA,15.8,24.2,5.7,63076,27101,7,15059,14831,-1.5,34.4
Mitchell ,IA,21.5,23.9,5.6,51078,24518,7.1,10776,10779,0.1,23
Monona ,IA,24.6,21.4,5.1,42025,24557,9,9243,8996,-2.7,13.3
Monroe ,IA,19,23.6,5.5,45997,24508,11.8,7970,8001,0.4,18.4
Montgomery ,IA,20.8,22.6,5.7,44281,22868,16.1,10740,10421,-3,25.3
Muscatine ,IA,15,25.4,6.7,51425,25038,14.4,42745,42903,0.4,97.7
O'Brien ,IA,20.6,23.6,6,48185,28086,11.3,14398,14056,-2.4,25.1
Osceola ,IA,20.2,23.2,6,48659,24653,8.6,6462,6218,-3.8,16.2
Page ,IA,20.8,20.6,5.6,43010,23496,13.9,15932,15496,-2.8,29.8
Palo Alto ,IA,21.4,22,5.9,44663,25055,9.2,9421,9099,-3.4,16.7
Plymouth ,IA,17.6,25.1,5.9,58888,27942,6.4,24986,24874,-0.4,29
Pocahontas ,IA,22.3,22.6,5.7,44073,25556,14.2,7310,7138,-2.4,12.7
Polk ,IA,11.7,25.2,7.2,59018,30442,11.8,430640,459862,6.8,750.5
Pottawattamie ,IA,15.7,23.7,6.5,51304,25847,13.8,93158,93128,0,98
Poweshiek ,IA,19.2,20.4,5.2,50349,25318,12.8,18914,18668,-1.3,32.3
Ringgold ,IA,25.3,23.3,5.8,44551,23324,13.1,5131,5051,-1.6,9.6
Sac ,IA,22.3,22,5.4,48093,26350,8.7,10350,10035,-3,18
Scott ,IA,14.4,24.1,6.6,52735,28948,13.1,165224,171387,3.7,360.7
Shelby ,IA,22.4,22.7,5.6,48783,26387,10.8,12167,11948,-1.8,20.6
Sioux ,IA,14.5,26.9,7.4,57227,24324,8.2,33704,34681,2.9,43.9
Story ,IA,10.7,17.1,4.9,50516,25986,20.9,89542,94073,5.1,156.3
Tama ,IA,19.2,24.1,6,51670,25311,11.5,17767,17451,-1.8,24.6
Taylor ,IA,21.1,23.1,6.3,43804,23793,14.5,6317,6143,-2.8,11.9
Union ,IA,18.9,23.1,6.1,44838,23007,16.1,12534,12516,-0.1,29.6
Van Buren ,IA,20.8,23.3,6.7,43181,21368,16.5,7570,7468,-1.3,15.6
Wapello ,IA,17,22.4,6,41425,22699,19.1,35625,35212,-1.2,82.5
Warren ,IA,14.9,25.2,6,62535,29088,7.3,46225,47956,3.7,81.1
Washington ,IA,18.5,24.8,6.6,54554,26459,9.8,21704,22070,1.7,38.2
Wayne ,IA,22.3,24.2,7,40024,22127,12.4,6403,6395,-0.1,12.2
Webster ,IA,17.2,21.4,5.8,41624,24203,15.8,38013,36955,-2.8,53.1
Winnebago ,IA,20.4,21.4,5.2,45603,24547,11.4,10866,10559,-2.8,27.1
Winneshiek ,IA,18.1,18.9,4.3,53122,25062,8.4,21056,20768,-1.4,30.5
Woodbury ,IA,13.8,26,7.3,45856,23269,15.7,102172,102271,0.1,117.1
Worth ,IA,19.8,21.7,5.1,50476,26187,11.5,7598,7624,0.3,19
Wright ,IA,21.3,23.1,5.7,45205,25827,11,13229,12840,-2.9,22.8
Allen ,KS,19,23.3,6,40554,20552,17,13371,12909,-3.5,26.7
Anderson ,KS,20.6,25.2,6.2,41713,22139,12.8,8102,7883,-2.7,14
Atchison ,KS,16.3,23.4,6.4,45212,21909,17.1,16924,16513,-2.4,39.3
Barber ,KS,20.3,22.5,6.9,45920,26229,10.6,4861,4897,0.7,4.3
Barton ,KS,17.3,24.5,6.9,44981,25800,13.9,27674,27385,-1,30.9
Bourbon ,KS,18.5,25,6.8,39591,19340,19.3,15173,14772,-2.6,23.9
Brown ,KS,19,25.4,7,39968,21046,19,9984,9815,-1.7,17.5
Butler ,KS,14,26,6,56454,27329,8.4,65880,66227,0.5,46.1
Chase ,KS,23.1,21.1,4.5,36815,21775,13.1,2790,2692,-3.5,3.6
Chautauqua ,KS,25.8,20.5,5.5,39529,21245,15.2,3669,3481,-5.1,5.7
Cherokee ,KS,17.7,24.3,5.7,39746,19580,18.4,21603,20787,-3.8,36.8
Cheyenne ,KS,26.5,20.6,5.1,37875,23677,11.2,2726,2693,-1.2,2.7
Clark ,KS,20.8,27.1,7.4,41129,25385,12.7,2215,2144,-3.2,2.3
Clay ,KS,21.9,23.2,6.4,45233,24503,14,8535,8317,-2.6,13.2
Cloud ,KS,21.1,22.6,6.6,38534,20467,16.3,9533,9385,-1.6,13.3
Coffey ,KS,19.3,22.4,4.7,51793,27627,9.1,8601,8433,-2,13.7
Comanche ,KS,22.9,26.6,7.6,39375,21041,6.4,1891,1954,3.3,2.4
Cowley ,KS,17,23.9,6.6,41878,21519,17.6,36311,35963,-1,32.3
Crawford ,KS,14.8,21.9,6.2,37378,20974,20.6,39134,39290,0.4,66.4
Decatur ,KS,27.1,20.2,6.4,39333,27154,10.1,2961,2908,-1.8,3.3
Dickinson ,KS,18.4,24.1,6.3,48890,23895,10.9,19754,19394,-1.8,23.3
Doniphan ,KS,17.5,21.8,5.7,46512,22713,12.3,7945,7874,-0.9,20.2
Douglas ,KS,10.3,19,5.2,49508,26342,19,110826,116585,5.2,243.1
Edwards ,KS,19.3,23.8,6.6,46551,24714,12.9,3037,3030,-0.2,4.9
Elk ,KS,27.2,20.1,4.1,34089,20322,18.5,2882,2694,-6.5,4.5
Ellis ,KS,13.8,21.9,6.9,43085,24291,16.2,28452,29013,2,31.6
Ellsworth ,KS,19.5,18,5,45865,22789,6.9,6497,6392,-1.6,9.1
Finney ,KS,9.4,31.1,9.5,47945,21629,16,36776,37184,1.1,28.2
Ford ,KS,10.4,30.3,9.6,51178,19994,15.5,33848,34795,2.8,30.8
Franklin ,KS,15.4,24.8,6.3,49543,22979,13.1,25992,25611,-1.5,45.5
Geary ,KS,7.6,30.2,11.4,46908,21408,12.1,34362,36713,6.8,89.3
Gove ,KS,23.2,23.8,6.8,44866,26233,10.3,2695,2727,1.2,2.5
Graham ,KS,25.4,20,6.6,47500,28146,11.2,2597,2566,-1.2,2.9
Grant ,KS,11.2,32,8.3,53213,26370,13,7829,7816,-0.2,13.6
Gray ,KS,14.4,29.2,7.5,57808,25537,11.2,6006,6082,1.3,6.9
Greeley ,KS,20.9,24.6,7.7,52847,32650,5.4,1247,1301,4.3,1.6
Greenwood ,KS,23.6,21.3,5.1,38346,22280,16.1,6689,6328,-5.4,5.9
Hamilton ,KS,11.9,29.9,8.4,43357,24510,11.2,2690,2603,-3.2,2.7
Harper ,KS,21.7,23.8,6.9,38313,22820,16.5,6034,5818,-3.6,7.5
Harvey ,KS,17.9,25.2,6.9,50287,23775,12.8,34684,34820,0.4,64.3
Haskell ,KS,12.1,28.9,7.6,52415,25114,10.4,4256,4106,-3.5,7.4
Hodgeman ,KS,23.2,22.7,7.4,52375,30440,5.2,1916,1916,0,2.2
Jackson ,KS,17.2,25.8,6.5,54546,24117,9.4,13462,13539,0.6,20.5
Jefferson ,KS,17.2,23.5,5.3,56875,26280,7.7,19126,18855,-1.4,35.9
Jewell ,KS,27.3,19.5,4.6,39884,23134,12.5,3077,3043,-1.1,3.4
Johnson ,KS,12.7,25.3,6.7,74717,38827,6.5,544179,574272,5.5,1149.6
Kearny ,KS,14.1,29.2,8.1,52264,22292,10.1,3977,3915,-1.6,4.6
Kingman ,KS,21.6,21.9,5.4,47466,24026,12.5,7858,7698,-2,9.1
Kiowa ,KS,18.9,20.7,6.5,44650,23232,12.3,2553,2513,-1.6,3.5
Labette ,KS,18.1,23.6,6.4,40916,22394,15.3,21607,20960,-3,33.5
Lane ,KS,23.5,21.3,5.6,53021,31694,10.3,1750,1687,-3.6,2.4
Leavenworth ,KS,12.7,24.3,6.6,63435,27017,10.7,76227,78797,3.4,164.7
Lincoln ,KS,20.7,24.3,6.3,40811,23686,12.8,3241,3167,-2.3,4.5
Linn ,KS,20.9,23.3,5,45519,26224,12.9,9656,9502,-1.6,16.3
Logan ,KS,19.7,22.3,5.9,41765,25328,12.8,2756,2794,1.4,2.6
Lyon ,KS,13.7,22.4,6.1,38981,19789,21.1,33690,33212,-1.4,39.8
McPherson ,KS,19,23.2,6.2,54167,27462,8.2,29180,29241,0.2,32.5
Marion ,KS,22.3,21.6,5,45830,22269,12,12660,12208,-3.6,13.4
Marshall ,KS,21.2,23.1,6.2,44032,25262,12.2,10117,10006,-1.1,11.2
Meade ,KS,17.6,27.1,5.5,51000,21990,9.5,4575,4357,-4.8,4.7
Miami ,KS,15.2,25.7,6.1,58936,28412,9.5,32787,32822,0.1,57
Mitchell ,KS,22.5,21.8,6.1,46667,26911,9.7,6373,6284,-1.4,9.1
Montgomery ,KS,18.1,23.9,6.9,39669,21332,19.4,35471,34065,-4,55.1
Morris ,KS,23.6,21.2,5.7,47445,24680,8.3,5923,5698,-3.8,8.5
Morton ,KS,18.2,25.9,6.9,46607,22378,11.3,3233,3110,-3.8,4.4
Nemaha ,KS,20.1,25.5,7,47122,24550,11.5,10178,10148,-0.3,14.2
Neosho ,KS,18.4,24.8,7.1,42071,21163,20.7,16512,16416,-0.6,28.9
Ness ,KS,23.8,23.2,5.9,48800,30223,12.7,3107,3105,-0.1,2.9
Norton ,KS,19.4,19,5.2,46029,22942,9.4,5671,5560,-2,6.5
Osage ,KS,18.5,23.8,5.6,50205,24789,10.6,16295,15936,-2.2,23.1
Osborne ,KS,24.8,20.5,5.4,37925,26313,17.3,3858,3756,-2.6,4.3
Ottawa ,KS,18,23.9,5.9,58396,26614,9.5,6091,6065,-0.4,8.5
Pawnee ,KS,19,19.3,4.9,44078,23230,6.3,6973,6916,-0.8,9.2
Phillips ,KS,21.4,23.5,6.5,43059,23772,10,5642,5533,-1.9,6.4
Pottawatomie ,KS,13.2,29.3,8.2,56854,24892,9,21604,22897,6,25.7
Pratt ,KS,17.9,24.4,7.2,46035,26209,11.6,9656,9850,2,13.1
Rawlins ,KS,26.6,19.8,5.7,43482,26897,11.5,2519,2584,2.6,2.4
Reno ,KS,18,23.2,6,43798,23382,12.4,64511,63794,-1.1,51.4
Republic ,KS,27.4,19.2,5.5,39572,25531,12.5,4980,4803,-3.6,6.9
Rice ,KS,17.5,23.8,6.7,45336,23068,14.9,10083,10015,-0.7,13.9
Riley ,KS,7.9,17.6,6.9,43962,22948,23.2,71115,75194,5.7,116.6
Rooks ,KS,20.6,23.3,6.3,42449,23768,18.3,5181,5155,-0.5,5.8
Rush ,KS,24.2,19.5,4.3,42610,24175,12.8,3307,3197,-3.3,4.6
Russell ,KS,22.4,21.6,6.3,37111,24683,14.6,6970,6956,-0.2,7.9
Saline ,KS,15.7,24.2,6.8,47215,24935,17.4,55606,55755,0.3,77.2
Scott ,KS,17.8,25.9,6.4,50605,26274,11.3,4936,5080,2.9,6.9
Sedgwick ,KS,12.8,26.5,7.6,49865,25603,15.3,498365,508803,2.1,499.6
Seward ,KS,8.8,31.3,9.8,50185,19015,19.4,22952,23465,2.2,35.9
Shawnee ,KS,16.1,24.3,6.7,48451,26057,16.7,177934,178406,0.3,327.1
Sheridan ,KS,22.7,23.4,4.8,48674,26841,12.9,2556,2539,-0.7,2.9
Sherman ,KS,18.3,23.8,7,38634,21476,16.8,6010,6110,1.7,5.7
Smith ,KS,26.3,19.8,5.2,45556,26811,15.4,3853,3769,-2.2,4.3
Stafford ,KS,20.5,24,5.3,43292,23240,15.1,4437,4297,-3.2,5.6
Stanton ,KS,16.6,27.9,7.9,46382,21712,4,2235,2111,-5.5,3.3
Stevens ,KS,13.2,30.8,7.8,54494,24950,15.1,5724,5801,1.3,7.9
Sumner ,KS,17.1,24.9,6.6,47894,22972,13.4,24132,23528,-2.5,20.4
Thomas ,KS,15.5,23,7.2,48187,26903,11.2,7900,7891,-0.1,7.4
Trego ,KS,24.2,18,4.4,45714,23095,6.7,3001,2902,-3.3,3.4
Wabaunsee ,KS,17.5,25,7.5,54694,24199,6.4,7053,7022,-0.4,8.9
Wallace ,KS,21.4,24.6,5.8,47454,25429,8.4,1485,1506,1.4,1.6
Washington ,KS,23.6,22.7,5.5,42515,22621,10.2,5799,5598,-3.5,6.5
Wichita ,KS,18,26.4,7.7,53018,23799,9.9,2234,2176,-2.6,3.1
Wilson ,KS,20.1,23.9,5.8,38917,19929,17.8,9409,9028,-4,16.5
Woodson ,KS,22.6,20.9,4.8,33839,21774,19.6,3309,3157,-4.6,6.6
Wyandotte ,KS,11.2,28.3,8.4,39402,18957,23.9,157505,161636,2.6,1039
Adair ,KY,16.4,21,5.5,32524,17371,19.1,18656,19204,2.9,46
Allen ,KY,16.1,23.9,6.2,40008,19086,18.6,19956,20384,2.1,58
Anderson ,KY,14.2,23.9,5.7,52646,24161,11.3,21421,21888,2.2,106.1
Ballard ,KY,19.5,21.9,5.2,44588,24781,14.4,8249,8240,-0.1,33.4
Barren ,KY,16.8,23.7,6.2,38873,19745,20.8,42173,43148,2.3,86.5
Bath ,KY,16,25.3,6.6,30797,16367,28,11591,12206,5.3,41.6
Bell ,KY,17.3,21.6,6.4,26228,15091,33.5,28691,27778,-3.2,79.9
Boone ,KY,11.2,27.3,7.2,67225,29235,9,118811,126413,6.4,482.3
Bourbon ,KY,17.5,22.7,5.7,40933,22893,17.2,19985,19972,-0.1,69
Boyd ,KY,17.9,21.2,5.8,40379,24530,19.9,49542,48832,-1.4,309.9
Boyle ,KY,17.6,20.3,5.2,41473,22249,18.3,28432,29706,4.5,157.8
Bracken ,KY,15.4,24.3,6.4,39196,20918,16.8,8488,8406,-1,41.3
Breathitt ,KY,15.4,21.1,5.8,24045,14706,32.5,13878,13409,-3.4,28.2
Breckinridge ,KY,17.6,22.9,5.6,38907,18101,19.6,20059,19888,-0.8,35.4
Bullitt ,KY,13.6,23.1,5.2,54836,24308,10.2,74319,77955,4.9,250.2
Butler ,KY,17.5,22.8,5.8,35430,18136,25.1,12690,12875,1.5,29.8
Caldwell ,KY,19.3,22.3,5.9,37127,20327,21.4,12984,12725,-2,37.7
Calloway ,KY,15.9,18.1,5.1,39677,21490,20.1,37191,38282,2.9,96.6
Campbell ,KY,13.8,22,6.1,54306,26945,13,90336,91833,1.7,597
Carlisle ,KY,19.9,22.2,5.7,39049,21500,16.2,5104,4978,-2.5,26.9
Carroll ,KY,14.7,25.6,7.9,40160,19429,29.9,10811,10815,0,84.1
Carter ,KY,16.5,22.6,6.1,36406,19204,20.3,27720,27223,-1.8,67.7
Casey ,KY,18.8,22.6,6.5,29934,15603,26.8,15955,15891,-0.4,35.9
Christian ,KY,11.1,27.7,9.8,38904,19773,20.5,73955,74250,0.4,103.1
Clark ,KY,16.3,22.8,5.8,45853,24524,15.4,35613,35758,0.4,141.1
Clay ,KY,13.5,21.1,6.2,21883,13542,37.7,21730,21147,-2.7,46.3
Clinton ,KY,18.2,22.8,5.6,27100,16795,24.4,10272,10165,-1,52.1
Crittenden ,KY,19.3,22.7,5.7,34261,21375,20.8,9315,9224,-1,25.9
Cumberland ,KY,20.7,21.4,5.6,31593,17697,23.6,6856,6745,-1.6,22.5
Daviess ,KY,16,24.3,6.6,46555,22963,15.2,96656,98275,1.7,210.9
Edmonson ,KY,19.3,19.4,4.6,37646,19481,16.1,12161,12013,-1.2,40.2
Elliott ,KY,18.3,18.8,4.4,24246,14040,31.8,7852,7672,-2.3,33.5
Estill ,KY,17.1,21.9,5.4,29184,16435,27.2,14672,14447,-1.5,58
Fayette ,KY,11.7,21.1,6.2,48398,29251,18.9,295803,310797,5.1,1042.8
Fleming ,KY,16.2,24.3,6.9,32495,19304,22.2,14348,14545,1.3,41.2
Floyd ,KY,16,22,6.6,30476,17716,28.9,39451,38108,-3.4,100.3
Franklin ,KY,16.3,20.9,5.5,46071,26243,16.6,49285,49880,1.2,237.2
Fulton ,KY,19.4,21,6.4,33582,18602,22.2,6813,6265,-8,33.2
Gallatin ,KY,12.3,25.6,6.5,43793,19020,20.7,8589,8589,0,84.8
Garrard ,KY,16.4,22.1,5.1,44652,21341,19.1,16912,16858,-0.3,73.5
Grant ,KY,12.6,27.3,7,46159,19829,18,24662,24875,0.9,95.6
Graves ,KY,17.2,24.4,6.5,38394,20746,18.6,37121,37618,1.3,67.3
Grayson ,KY,16.2,23.8,6.3,32399,19115,23.3,25746,26194,1.7,51.8
Green ,KY,19.6,20.9,5,34406,17984,21.9,11258,11043,-1.9,39.4
Greenup ,KY,19.1,21.9,5.4,44060,22035,17.9,36910,36308,-1.6,107.2
Hancock ,KY,16.1,25.5,6.4,51189,22686,14.2,8565,8753,2.2,45.6
Hardin ,KY,12.3,25.1,6.8,48687,24147,15.8,105543,108266,2.6,169.3
Harlan ,KY,16.3,22.7,7,25906,16257,31.3,29278,28163,-3.8,62.9
Harrison ,KY,16.5,23.3,5.8,36048,21424,23.1,18846,18592,-1.4,61.5
Hart ,KY,16.2,24.4,6.1,33408,17273,26.6,18199,18597,2.2,44.2
Henderson ,KY,15.7,23.4,6.3,41940,22746,17.7,46250,46467,0.5,105.9
Henry ,KY,16,23.9,5.8,46016,21923,17.1,15416,15572,1,53.9
Hickman ,KY,23.6,19.8,4.1,34029,19292,18.3,4902,4734,-3.4,20.2
Hopkins ,KY,17.1,22.8,5.9,40891,22132,18.8,46920,46376,-1.2,86.6
Jackson ,KY,15.6,22.3,5.7,26156,15880,34.2,13494,13289,-1.5,39.1
Jefferson ,KY,14.5,22.7,6.5,46959,27925,16.7,741096,760026,2.6,1948.1
Jessamine ,KY,13.4,24.8,6.7,49024,25637,16.9,48586,50815,4.6,282.3
Johnson ,KY,16.1,22.6,6.5,34090,19445,24.3,23356,23262,-0.4,89.2
Kenton ,KY,12.7,24.5,7.1,54270,27704,13.7,159720,163929,2.6,996.7
Knott ,KY,15.8,20.4,5.7,33889,18448,23.1,16346,15892,-2.8,46.5
Knox ,KY,16.9,23.8,6.7,24038,14367,34.7,31883,31798,-0.3,82.5
Larue ,KY,17,22.4,5.3,39753,19611,16.9,14193,14180,-0.1,54.3
Laurel ,KY,15,23.6,6.1,36570,19923,21.8,58849,60015,2,135.6
Lawrence ,KY,15.9,23.1,6.5,33525,17960,27,15860,15804,-0.3,38.2
